,sentiment,content
0,1,good morning peoplee look like going nice day today better last week raining
1,1,karriedaway look sooooo pretty love dang wish ny could c u ur thang
2,0,happy mother day going zoo wake oh god noo
3,0,rolling bed past hour still unable sleep
4,1,shakedxit save
5,0,happy mother day
6,1,weather lovely headed home via supermarket planning spend quality time knitting tonight
7,1,beautyholic woohoooo both retail therapy surprise visit two thing love
8,0,shoe me
9,0,wishing outside instead trapped office
10,0,anhhoang sorry posted vid again load me
11,0,poynterjones join jealousy l
12,1,good morning tweeties today rested richmond ready hit beach
13,0,bad day work s stressful been involved minor accident everything s ok far cut immediately
14,1,man thing would chng vega british boy wayyyy hot
15,1,redrosepetals god bless oh so sexy rahul picture
16,1,tom conrad take good photo
17,0,disappointed forgot tweet something really inappropriate graphicphantom yelled whole food yesterday amp can t remember it
18,1,sarahhlouisee thankyou ur night
19,0,hate bff groundedd boooooooooo
20,0,bigkelleh know can t
21,1,girsl night way foam party sleep tonight
22,0,forget much miss tribe til limited access talking them spotty internet country long
23,0,trying install vodafone internet key eeepc remember worked box today want work
24,0,little thing always cherish you
25,0,sexxieluv dang just far away i darn dream
26,1,typezero hehe until come back fb friend get twitter respite huh jk
27,1,assembled ive haha
28,1,hstreet always good see even cyberspace
29,1,tomorrow warm day reason like sun much xd go swim d that s better xd
30,1,mollymazy aww happy mother s day girlie kingston lucky great mommy
31,0,lost one best friend iï¿½m sooo sad
32,0,daynah work iphone yet love simplicity need able sort task iphone useful
33,0,hungry if arm core diet would eat it guess wait dinner ready
34,0,darkmornan disappointing
35,1,moving today excited
36,0,bored everyone social life except me babysitting brother tonight til dunno ill allowed
37,0,kirstiealley reply gorgeous hot pink shoe then
38,0,back leg kill yesterday big old leak kitchen look like staying pjs day infront tv
39,1,paulawhite yep looking forward it
40,1,gretchenrubin love this body tell u much sleep need always good mindful mealtime
41,1,jfb good morning
42,0,mialotta u feel shit nerve tripped plastic telescope yesty fell wall head still hurt
43,0,oh today jay lenos last show miss u mr leno
44,0,awww sunthings wrong w ubertwitter last nite
45,1,get early feel good day walk work feeling alright guess what work today
46,0,mowing hate lawn
47,1,afrykah heyyy girl havent tweeted u week hope well
48,0,eoghancasey oh no wish could lay sun garden lol
49,0,wish bank holiday could radio afternoon least another week come idea
50,0,oh no poor bear nightmare wrestled huge snake
51,1,know saying fuck it i m horny hell
52,1,humm adore mark hoppusday so going throw hoppusday nice hoppusday people
53,0,back salvador wish sao paulo see second concert
54,0,puzzled people s mood swing make somewhat sad can t pinpoint feel
55,0,nikkibenz hope so recorded pit wa game find didnt record lucky leaf woulda lost
56,0,kingsrockandrol bit zoe co bed soon miss gorgeous weather today x
57,0,morgret probably not kinda expensive work people weekend work
58,0,mpellegrini hurt you sunshine weekend get play that s sad
59,0,robertpound groom think die old maid lol
60,1,amost
61,0,god piss always enter comp amp never win i sore loser
62,0,zee can t gravity let me
63,0,faulko watchign garden window far hot
64,1,wake x x tired moment listing music make happy let wake
65,0,tessonfire feel almost empty inside today good feeling
66,1,shanterowlandd wonderful mommy world doing
67,0,front tv wats score inning
68,1,also twitter follow u know latest
69,0,oh beautiful morning brekky bed
70,0,erickadiaz get go coffee fun hate too
71,0,pilarlovesyou love you leave me
72,1,reading maltese sunday newspaper coffee aaaah glorious sunday
73,1,yay good way end night
74,0,lmao come mad reply im like damn im missed damn follow friday lmao im still important missed
75,1,sometimes long weekend need good conversation thanks bro
76,0,think good stood up
77,0,awww poor holly
78,1,wheelchair fitting today mall buzzing amp home depot quot homebound quot got real old goal taxi yellow electric red
79,0,phxphoto kidding there ugh one thing know sure showing property weekend
80,0,shopping sam s club baton rouge mom brought step dad charity hospital cant go home yet plan
81,1,m nigeria oh yeah know met taking trash hhaha
82,1,senior ball hella fun good night
83,1,maaaan way nice outside working
84,1,tanahuffman mmmm macrina bakery
85,0,smileyquanta oh good wanting watch movie nooobody would watch w me
86,0,saw dooope bmw series parked top back to bad raining
87,1,swimming party brother tonight awesome time since sissy cold water i loved today
88,0,guess go back scrape oven now blerg
89,1,coffee gym studio story of my life these day grateful
90,1,and accumulating money again use fancy finance app thinking getting another cd ira saving house crazy
91,1,kirstynsmith spent hour sitting sun picnic lunch ice cream win bbq today
92,0,dezurita nooo real mushroom neighbor uprooted
93,1,got home hour track feel real good p running nice ab work push ups haha p
94,0,turnitgrey computer broken broke laptop use phone ahh still cause fucked order
95,1,oooh apple trending topic again xd yay apple
96,1,havin friend hangin christian tonight gonna roast marshmellows chocolate cramcrackers
97,0,figure start raining freed work
98,1,finished melzer s zombie chronicle day ago bittersweet need something new gym
99,1,therealingrosso nto milk deffo
100,1,last week hit guinea pig picture webshots even promote them way go
101,0,epic war mt longer blue
102,0,king reeeally wish could n while what s goin lately
103,1,spootychild omfg downing tasty ate almost lo
104,1,therealseeon birthday sex great song man something different it that s ppl want
105,1,babygirlparis ur pic nice look cute oh
106,0,im hungry nothing eat
107,0,miss baby
108,0,miss baby day
109,0,chuybe left first left bed look
110,0,woke up laura s last full day last night watched embarrassing home movie
111,0,ugh still sick calgary cold lasted forever
112,1,taco bell tramp yesssssir
113,1,gonna get sunshine
114,0,kevinpollak forgive missed you
115,1,fatdaddysweets yay busy good
116,1,http twitpic com wta pretty damn good friday night
117,0,epiphanygirl upset get ticket time fav artist one venue
118,0,everyone left gone bed
119,0,supergirlnancy sorry code posted site
120,1,rain rain rain go away come back next week gone via gigglingmarlin raining lie crazy key
121,0,senior video mustang update gonna cry
122,0,miss city leave priciness pollution panhandler
123,0,brighter note still work friday working people problem oh man eating pizza tonight hoorah
124,0,two page assignment weekend go chance relaxation
125,0,mpvt another david hughes list hurt davidahughes ftw
126,1,almost done first day spa i missed place headed fort collins close casa de kent
127,0,queenbmakeup can t add myspace girly asks last name email
128,0,late last night oracle
129,1,lexymez thanks much alex best wish day
130,0,donniewahlberg feeling inspired today i suppose b ham concert tonight
131,1,school arrange design blog friend think look good http xoxoeternity blogg no
132,1,oakmonster hear ya
133,1,gilamuffin sound like good time nice you see him played rio aladdin seen live time
134,0,miss baltigirl gone whoolllleeee weekend boo hoo
135,1,happy mother day mommy
136,1,ocell great hear saw slumdog millionaire yes that s bollywood thing end
137,0,dont mind long line there super cutie front me bad wearing gay bracelet girl name
138,0,askegg sorry andrew wish something could do
139,1,rupert grint dog thingy adorable golden retriever would awesome husky too x
140,0,amillerwvu going mad got sent office sub class really bad that hear sorry
141,0,sf felt way intense tonight hope keep up upset hanging fascinated pearl
142,1,discostarchild hahaha n u
143,0,big sugar yet another s bandwagon late get on next s amp d bnl reunite kind like odds
144,0,andremichelle mr tonematrix birthday today poor guy ill home perhaps hi twittersphere would good
145,0,hmmm realized i bday cake birthday boo hoo
146,0,champion yeah neither huntsville would quit job one job there
147,1,like smell roast oven mmmmmm must dip sakatas tide till roast cooked
148,1,happy star war day may th brilliant
149,0,kateisbored feel way guess matter always meme
150,0,editing video van little hungry depressed see yet
151,0,last day ko olina north shoreee
152,1,thanks feedback everyone
153,1,watching supernatural exciting
154,1,darealsunisakim there s ding tai fung sydney aswell making want dumpling
155,0,jferlee see last night oh well watch theater that s must
156,0,tahninial called cheeseburglar made sad
157,0,watching army wife always make cry
158,1,brianiwama amen brotha
159,1,dayv haha playing
160,1,stephanie hall gutted wasn t lmao think obsessed him bahaha
161,0,wita still think unfair infamous pc
162,0,got attic w sadie art work included good time broke head phone bad time still happy buy attic
163,0,shower time
164,1,corrina bitch miss you
165,1,thequietone went well andrea
166,0,really annoyed work appear blocked facebook now
167,1,marcooth great obviously check twitter often know important stuff thats going
168,0,pool today stupid weather
169,0,really sick tired body s resisting rest
170,0,going bed pain fell shoulder today good night
171,1,i dulay swear took hour get bel air alabang yes loved reminiscing hk trip amp cdeocampo
172,0,traceyhewins tired may go bed trouble miss american evening friend x
173,0,minute never class again kinda sad cause class fun
174,0,chrisdjmoyles justice left dj talent voted n
175,1,zapatos trashcan nacho epic night
176,0,can t find trusty hair tie hair spill place run mom s band work me normal one hurt
177,0,changed hairstyle but good supposed n wealth much money hate hairdresser
178,1,mnny iye neh kurang tidur kayaknya pulang pagian deh hari ini tidur langsung haha thanks
179,0,gah buddy k must hang person right miss him along parker mcphee
180,0,boring sunny monday school tired lazy hungry yeah great mood
181,1,please check www mysweetebony com lmk think first paysite post site too
182,1,new slipper piggy cute warm
183,0,abbyro good good sched sadly
184,0,sleepy earlier didnt get see matt
185,1,happy mother day
186,0,lt rupert grint amp boy ive accepted tht fancy im certain doesnt feel worth telling
187,0,new guitar hero metallica guitar already broken fail
188,0,feel kind well right
189,1,michaellington hahaha made laugh
190,0,angiebeyince damn dublin
191,1,demiswissfan yer hope competition doesnt end post video lol really good singer entered
192,1,mombloggersclub good morning
193,1,deauxboi lol he cool shoooooot
194,1,najiahyahya yeay haha thank much jiah
195,1,http twitpic com jkea edstetzer follower congrats
196,0,seattlewillow well work leah might something embry
197,0,hey guy sun make day gloomy
198,1,andyclemmensen seen game website awesomness go msn
199,0,feeling sick
200,0,risk sounding like whiny child gotta say i wanna go hoooooooooooomeeeee ugh
201,0,sick math
202,1,myapplestuff oh cute uniteddogs com poppy
203,0,enjoying sun heavy heart depeche weekend spending time man love double gutted
204,0,sitting outside cold ocean glass wine
205,0,jazzyladee try pretty hard engage everyone follow lack interesting shit say end unfollowed
206,1,reagan con according quiz http quizfarm com run php quizrunner
207,1,made bomb blew mouth just made best f ing dinner
208,1,early load do sun out hurrah
209,1,finally home night dinner drinking friend going sleep now hoping bed spin much
210,0,ahhhh pic
211,1,want die want take life forever trying get duet
212,0,sweeetnspicy hiii im ipod i cant fall asleep
213,0,friend san pablo right now drinking laughing swimming iim here huhuhu
214,1,search ryan carera amp josh kelley really good
215,1,ten min stimulate biz sale good customer service award breast cancer camp koozies product variety
216,1,cassiewho haha problem fun
217,0,nice day like make miss alki
218,1,valerie quite few peacock oceanographer s choice new favorite play
219,0,going miss springwatch tonight going make garden
220,0,can t beat time low soooooo want go metro station cheap shot wont able break bone
221,0,dutchreaganite roflmao feel inspired go start huge bonfire
222,0,got thinkin weird w out dog
223,1,way wimbledon sweezle watch star trek imax baby
224,1,goodness go single shit go crazy haha fuck this like single much want holla
225,1,b wright thank you quot return mack quot jam
226,1,kayleelovexx love panty
227,0,really miss photofiltre photoscape gimp damn confusing
228,1,alone weekend
229,0,sun cool
230,0,computer work working booo need new one tgif
231,0,brett fedex pizza cancel nyc trip later summer
232,0,bored need friend
233,0,sad gone show mcfly fan them
234,1,wethetravis hope happens tomorrow ill providing dad get better take
235,0,twitter fail life sometimes oh well http tinyurl com qkxhq
236,0,watching scrub season oh gonna miss show
237,0,share miss niece nephew http tinyurl com mrgqdc http plurk com p xap
238,1,lee net op twitter dat het happy star war day is quot may th you quot sjeez wat slecht
239,1,live long prosper
240,0,miss feb rd best night whole entire fucking life rather re live night win million
241,0,favorite spotter last tweet go phone
242,0,came home sister spent night
243,1,fight club th anniversary re enacting nice tattoo http img suicidegirls com medium album jpg
244,1,ryanseacrest god day xx
245,1,birthday girl house tweet tweet suckas
246,0,need friend right feel like mmmm sosad
247,1,jonasbrothers omj loved it it good laugh frankie great job guy agnes
248,0,broke bottle probably focus work instead thinking songgoeswrongs
249,0,got home school wake friend s father tired
250,1,leaving work going crystal search license picking bia up heading vega ugh tired already
251,1,glorianatheband hey guy saw st louis loved you would ever play ct met outside u nice
252,0,hungry
253,0,happy mother s day mm mum hope lovely day mamam
254,0,rafealanthem http www cultureshockmag com shoutz deejayschemes mix site gonna b nervvoouuss
255,0,cab slow probably miss first beer
256,0,wendica checked win
257,1,andrew theme tune robin batman
258,0,wtf little year old wanna thug ugh can t everyone friend clique like back old day
259,1,got bouquet flower mom hehehe sweet
260,1,amyqcoocachoo thank yyyyyyyyyoooooooooouuuuu
261,1,getting night great mood
262,0,sallyorourke mean portfolio sad luck here applied place far
263,0,pouring outside cleaning locker bookbag heavy back arm killing
264,0,past am already spoiled rotton
265,1,rjramos cool
266,1,terrilpn thanks terri excited pick parker monday hope get along david pixiebob
267,0,reaaally need
268,0,redstarfuture awww no ugly
269,0,got fight pavement think poor little knee
270,0,ayebloodyright mean moz workin baker later pub
271,0,enjoying happiness special day another day make best one life
272,0,fab broke
273,0,limeice way home dood dont think crappy vodafone gprs handle yaymen com
274,1,first star trek anything really entertaining see harold fly enterprise white castle
275,1,proudly watching film http bit ly dpuh
276,1,got jojo free free drink mom kind night
277,0,carsxcollide no fell effed arm today back drive
278,1,school everyone first class day day
279,1,south style exhibition less week member fresh gallery otara
280,0,dang ldbf didnt give follow friday shot
281,0,one go see tiesto
282,1,sunnyphoenix like no n tha dj comp hella wack gud dj got free gud
283,1,usher guy made mother s day really awesome today thanks coming early prep surprise gift mom
284,0,sharlynnx aww thank xx
285,0,feel sorry male singer never gonna great zac hanson pooorr fella
286,1,sierrasnowboard week delivery oz awesome product awesome price parcel today made day
287,0,harry baked love cassie online
288,1,family guy rerun food and good phone conversation ah saturday
289,0,loryanyumul miss gonna irvine again liz reminiscing adventure
290,0,zackintoys sadly hopeful american doll posse blah vacant dynamic
291,1,primaveron need would ve made picture much cooler mine bottle green eeyea thooo
292,1,woo hoo sun outside might able get sunset shot tonight finger crossed
293,0,jayresc n u can t change profile backgroud neither
294,1,come kirk hook wii wifi you eeet
295,1,great day rode beach cruiser town see culver city antique car show found next bike http twitpic com wn
296,1,playing munchkin today talking cake getting ready yard sale tomorrow looking forward
297,0,today day leakycon awesome number wish far away
298,0,damn miss bf
299,0,morrgaan oh week bad one everyone love amp pretty face amp youre going fantastic concert tonight
300,1,happy mother s day mom there
301,0,worst week thing really happen three
302,0,working late house love company want summer evening people
303,0,guess bedtime goodnight twitter bed big empty without him
304,1,cause effect me currently loving hey monday thanks lot alexrellosa
305,1,up coffee hand laminate floor lay footy watch play living dream
306,1,divadivachrissy lol wat u making come da way overr for v
307,1,fun tonight make up pillow fight skin wish could stayed
308,0,chrisefs tryed day werent giving using
309,0,bluecat absolutely tru the horror still wash ovr sometimes think abt actual last day gd memory go
310,1,eashmore like real time guy ha g night amp happy birthday kid
311,0,jaredpadalecki season that s it sorry noticed ur previous update si gonna happy
312,0,jimmyheartcore awwwww snaaaap jimmaaayy man hookup bad far away
313,0,attempt sync facebook twitter seems failed
314,1,tiffaniallen happy got hair did cant wait til get back see it leaving today
315,1,soapylove congrats invisalign need get refitted mine got lazy stopped wearing them
316,0,donttreeriddle oh no melted ice cream want
317,0,gone right now wish could alter time
318,0,awe going meijer walmart walmarts better
319,0,arikhanson shoot voted somehow looked boo hiss forgive great weekend arik
320,1,good morning everyone time work
321,1,sozah morning sunshine
322,1,peter amp gordon morning gt i go piece wanna hide go piece almost die ever http blip fm yk
323,1,omg back know week brother took laptop mexico online
324,1,omgoodness finally back dinner fam bam
325,1,vestacaro already get tax money helio winning pole position ha ha
326,1,f nadzirah thanks
327,0,oh antiboyle work either never much bad thing eh uk eh
328,0,omfg favourite jerk chicken place closed
329,1,ultimate training looking forward sunset
330,0,one call awww wish could talking minute
331,1,relaxing bed go sleep nice get house tonight
332,0,think cheap sunglass falling apart oh well
333,0,hummingbird yeah tough time
334,1,mydaughters well sound delicious laying patio tom sans pool enjoy burger
335,1,cannot find poetry book dad s tear room looking it don t gonna sad
336,0,feel extremely depressed right now
337,1,vixx haha whole world lol
338,1,cherrybaby glad like it
